StartIdx,EndIdx,Start,End,CalcDur,DurField,Reverse
455,456,1310.747,1312.741,1.994,1.994,False
457,458,1320.7,1322.712,2.012,2.012,False
459,460,1329.571,1331.639,2.069,2.069,False
461,462,1336.035,1336.695,0.659,0.66,False
463,464,1340.246,1340.839,0.593,0.593,False
465,466,1343.307,1345.276,1.969,1.969,False
467,468,1347.645,1348.244,0.598,0.598,False
469,470,1353.76,1355.742,1.982,1.982,False
471,472,1360.94,1361.697,0.757,0.758,False
473,474,1365.309,1367.09,1.782,1.782,False
475,476,1374.631,1376.344,1.713,1.713,False
477,478,1384.351,1386.073,1.722,1.722,False
479,480,1392.244,1393.987,1.742,1.742,False
481,482,1398.332,1400.108,1.776,1.776,False
483,484,1407.947,1409.731,1.783,1.783,False
485,486,1416.026,1416.795,0.769,0.769,False
487,488,1420.773,1422.546,1.772,1.772,False
489,490,1426.952,1428.706,1.754,1.754,False
491,492,1431.463,1433.185,1.722,1.722,False
493,494,1439.29,1441.389,2.099,2.099,False
495,496,1447.648,1449.734,2.087,2.087,False
497,498,1456.362,1458.448,2.087,2.087,False
499,500,1461.618,1462.215,0.597,0.597,False
501,502,1465.428,1467.364,1.936,1.936,False
503,504,1468.683,1469.509,0.826,0.826,False
505,506,1472.841,1474.883,2.041,2.041,False
507,508,1476.749,1478.611,1.863,1.863,False
509,510,1481.68,1482.386,0.706,0.706,False
511,512,1485.695,1487.517,1.821,1.821,False
513,514,1492.285,1493.035,0.75,0.75,False
515,516,1497.085,1498.82,1.735,1.735,False
517,518,1501.983,1502.719,0.736,0.736,False
519,520,1507.608,1509.337,1.73,1.73,False
521,522,1512.442,1513.185,0.743,0.743,False
523,524,1517.145,1518.912,1.767,1.767,False
525,526,1521.723,1522.53,0.808,0.808,False
527,528,1524.02,1525.796,1.776,1.776,False
529,530,1529.844,1530.417,0.573,0.573,False
531,532,1533.238,1535.514,2.276,2.276,False
533,534,1539.14,1539.949,0.81,0.81,False
535,536,1542.787,1544.839,2.052,2.052,False
537,538,1549.277,1551.371,2.094,2.094,False
539,540,1558.984,1560.743,1.759,1.759,False
541,542,1568.246,1570.037,1.792,1.792,False
543,544,1577.695,1579.497,1.801,1.801,False
545,546,1587.599,1589.349,1.751,1.751,False
547,548,1594.916,1596.662,1.746,1.746,False
549,550,1603.87,1605.781,1.911,1.911,False
551,552,1610.296,1612.093,1.797,1.797,False
553,554,1616.499,1617.219,0.72,0.72,False
555,556,1620.65,1622.661,2.011,2.011,False
557,558,1628.801,1630.921,2.12,2.12,False
559,560,1636.277,1638.385,2.108,2.108,False
561,562,1643.875,1645.939,2.064,2.064,False
563,564,1650.795,1652.543,1.749,1.749,False
565,566,1656.28,1658.081,1.8,1.8,False
567,568,1661.436,1662.162,0.726,0.726,False
569,570,1664.129,1664.918,0.788,0.788,False
571,572,1670.418,1672.198,1.78,1.78,False
573,574,1678.861,1680.637,1.776,1.776,False
575,576,1685.732,1687.492,1.759,1.759,False
577,578,1690.511,1691.296,0.785,0.785,False
579,580,1694.428,1696.16,1.732,1.732,False
581,582,1697.957,1698.738,0.781,0.781,False
583,584,1704.402,1706.143,1.741,1.741,False
585,586,1711.992,1713.755,1.763,1.763,False
587,588,1719.423,1721.136,1.713,1.713,False
589,590,1723.121,1723.892,0.771,0.771,False
591,592,1727.849,1729.632,1.783,1.783,False
593,594,1735.615,1737.49,1.875,1.875,False
595,596,1742.108,1742.876,0.768,0.768,False
597,598,1746.76,1748.516,1.756,1.756,False
599,600,1751.016,1752.955,1.939,1.939,False
601,602,1756.318,1756.818,0.501,0.501,False
603,604,1762.577,1764.347,1.77,1.77,False
605,606,1770.073,1771.856,1.783,1.783,False
607,608,1776.849,1777.617,0.767,0.767,False
609,610,1779.738,1781.511,1.773,1.773,False
611,612,1785.963,1786.697,0.735,0.735,False
613,614,1789.207,1790.97,1.763,1.763,False
615,616,1794.67,1796.398,1.728,1.728,False
617,618,1803.866,1805.614,1.748,1.748,False
619,620,1813.286,1815.137,1.851,1.851,False
621,622,1819.379,1820.131,0.752,0.752,False
623,624,1824.71,1826.457,1.747,1.747,False
625,626,1829.547,1830.152,0.604,0.604,False
627,628,1833.185,1834.95,1.765,1.765,False
629,630,1840.849,1841.548,0.699,0.699,False
631,632,1844.604,1846.376,1.772,1.772,False
633,634,1856.191,1858.005,1.814,1.814,False
635,636,1868.25,1870.181,1.93,1.93,False
637,638,1876.918,1877.729,0.81,0.81,False
639,640,1880.27,1882.217,1.947,1.947,False
641,642,1890.481,1891.261,0.78,0.78,False
643,644,1892.21,1893.816,1.606,1.606,False
