Idx,Kind,T,DurField,Line
542,end,1590.692,1.89,"[silencedetect @ 000001d1ec14d600] silence_end: 1590.69175 | silence_duration: 1.8895"
543,start,1596.278,,"[silencedetect @ 000001d1ec14d600] silence_start: 1596.278125"
544,end,1598.015,1.736,"[silencedetect @ 000001d1ec14d600] silence_end: 1598.0145 | silence_duration: 1.736375"
545,start,1603.484,,"[silencedetect @ 000001d1ec14d600] silence_start: 1603.483813"
546,end,1604.02,0.536,"[silencedetect @ 000001d1ec14d600] silence_end: 1604.019937 | silence_duration: 0.536125"
547,start,1605.966,,"[silencedetect @ 000001d1ec14d600] silence_start: 1605.96625"
548,end,1606.471,0.504,"[silencedetect @ 000001d1ec14d600] silence_end: 1606.470687 | silence_duration: 0.504437"
549,start,1607.868,,"[silencedetect @ 000001d1ec14d600] silence_start: 1607.867937"
550,end,1609.622,1.754,"[silencedetect @ 000001d1ec14d600] silence_end: 1609.621813 | silence_duration: 1.753875"
551,start,1614.137,,"[silencedetect @ 000001d1ec14d600] silence_start: 1614.136688"
552,end,1615.934,1.797,"[silencedetect @ 000001d1ec14d600] silence_end: 1615.933688 | silence_duration: 1.797"
553,start,1620.34,,"[silencedetect @ 000001d1ec14d600] silence_start: 1620.340312"
554,end,1621.06,0.72,"[silencedetect @ 000001d1ec14d600] silence_end: 1621.06025 | silence_duration: 0.719938"
555,start,1624.491,,"[silencedetect @ 000001d1ec14d600] silence_start: 1624.49075"
556,end,1626.502,2.011,"[silencedetect @ 000001d1ec14d600] silence_end: 1626.501875 | silence_duration: 2.011125"
557,start,1632.642,,"[silencedetect @ 000001d1ec14d600] silence_start: 1632.641687"
558,end,1634.761,2.12,"[silencedetect @ 000001d1ec14d600] silence_end: 1634.761188 | silence_duration: 2.1195"
559,start,1640.118,,"[silencedetect @ 000001d1ec14d600] silence_start: 1640.118062"
560,end,1642.205,2.087,"[silencedetect @ 000001d1ec14d600] silence_end: 1642.204563 | silence_duration: 2.0865"
561,start,1647.723,,"[silencedetect @ 000001d1ec14d600] silence_start: 1647.72275"
