Idx,Kind,T,DurField,Line
110,end,322.797,1.767,"[silencedetect @ 000001d1ec14d600] silence_end: 322.7965 | silence_duration: 1.766813"
111,start,327.253,,"[silencedetect @ 000001d1ec14d600] silence_start: 327.253375"
112,end,329.235,1.982,"[silencedetect @ 000001d1ec14d600] silence_end: 329.234938 | silence_duration: 1.981563"
113,start,333.529,,"[silencedetect @ 000001d1ec14d600] silence_start: 333.52925"
114,end,334.38,0.85,"[silencedetect @ 000001d1ec14d600] silence_end: 334.379563 | silence_duration: 0.850313"
115,start,339.125,,"[silencedetect @ 000001d1ec14d600] silence_start: 339.1245"
116,end,341.147,2.023,"[silencedetect @ 000001d1ec14d600] silence_end: 341.147063 | silence_duration: 2.022563"
117,start,342.337,,"[silencedetect @ 000001d1ec14d600] silence_start: 342.336938"
118,end,343.14,0.803,"[silencedetect @ 000001d1ec14d600] silence_end: 343.14 | silence_duration: 0.803063"
119,start,350.884,,"[silencedetect @ 000001d1ec14d600] silence_start: 350.884063"
120,end,352.949,2.065,"[silencedetect @ 000001d1ec14d600] silence_end: 352.949375 | silence_duration: 2.065313"
121,start,354.955,,"[silencedetect @ 000001d1ec14d600] silence_start: 354.955375"
122,end,355.763,0.808,"[silencedetect @ 000001d1ec14d600] silence_end: 355.763062 | silence_duration: 0.807688"
123,start,358.503,,"[silencedetect @ 000001d1ec14d600] silence_start: 358.50325"
124,end,359.313,0.809,"[silencedetect @ 000001d1ec14d600] silence_end: 359.312625 | silence_duration: 0.809375"
125,start,363.191,,"[silencedetect @ 000001d1ec14d600] silence_start: 363.19075"
126,end,365.211,2.02,"[silencedetect @ 000001d1ec14d600] silence_end: 365.210813 | silence_duration: 2.020062"
127,start,367.276,,"[silencedetect @ 000001d1ec14d600] silence_start: 367.27575"
128,end,368.1,0.824,"[silencedetect @ 000001d1ec14d600] silence_end: 368.100188 | silence_duration: 0.824438"
129,start,374.967,,"[silencedetect @ 000001d1ec14d600] silence_start: 374.966938"
130,end,376.752,1.785,"[silencedetect @ 000001d1ec14d600] silence_end: 376.752187 | silence_duration: 1.78525"
131,start,380.674,,"[silencedetect @ 000001d1ec14d600] silence_start: 380.67425"
132,end,382.538,1.863,"[silencedetect @ 000001d1ec14d600] silence_end: 382.537625 | silence_duration: 1.863375"
133,start,386.279,,"[silencedetect @ 000001d1ec14d600] silence_start: 386.278625"
134,end,387.148,0.869,"[silencedetect @ 000001d1ec14d600] silence_end: 387.147625 | silence_duration: 0.869"
135,start,388.671,,"[silencedetect @ 000001d1ec14d600] silence_start: 388.671063"
136,end,389.253,0.582,"[silencedetect @ 000001d1ec14d600] silence_end: 389.253062 | silence_duration: 0.582"
137,start,390.615,,"[silencedetect @ 000001d1ec14d600] silence_start: 390.614813"
138,end,392.394,1.779,"[silencedetect @ 000001d1ec14d600] silence_end: 392.394063 | silence_duration: 1.77925"
139,start,395.004,,"[silencedetect @ 000001d1ec14d600] silence_start: 395.003562"
140,end,395.781,0.778,"[silencedetect @ 000001d1ec14d600] silence_end: 395.78125 | silence_duration: 0.777687"
141,start,397.622,,"[silencedetect @ 000001d1ec14d600] silence_start: 397.622125"
142,end,399.445,1.823,"[silencedetect @ 000001d1ec14d600] silence_end: 399.445 | silence_duration: 1.822875"
143,start,404.059,,"[silencedetect @ 000001d1ec14d600] silence_start: 404.059375"
144,end,405.897,1.837,"[silencedetect @ 000001d1ec14d600] silence_end: 405.896625 | silence_duration: 1.83725"
145,start,409.029,,"[silencedetect @ 000001d1ec14d600] silence_start: 409.028937"
146,end,409.55,0.521,"[silencedetect @ 000001d1ec14d600] silence_end: 409.550313 | silence_duration: 0.521375"
147,start,414.045,,"[silencedetect @ 000001d1ec14d600] silence_start: 414.045125"
148,end,415.867,1.822,"[silencedetect @ 000001d1ec14d600] silence_end: 415.866875 | silence_duration: 1.82175"
149,start,419.712,,"[silencedetect @ 000001d1ec14d600] silence_start: 419.711563"
150,end,421.472,1.76,"[silencedetect @ 000001d1ec14d600] silence_end: 421.471875 | silence_duration: 1.760312"
151,start,424.598,,"[silencedetect @ 000001d1ec14d600] silence_start: 424.598063"
152,end,426.357,1.759,"[silencedetect @ 000001d1ec14d600] silence_end: 426.356688 | silence_duration: 1.758625"
153,start,427.935,,"[silencedetect @ 000001d1ec14d600] silence_start: 427.935063"
154,end,428.445,0.51,"[silencedetect @ 000001d1ec14d600] silence_end: 428.44525 | silence_duration: 0.510188"
155,start,434.588,,"[silencedetect @ 000001d1ec14d600] silence_start: 434.58825"
156,end,436.319,1.73,"[silencedetect @ 000001d1ec14d600] silence_end: 436.318688 | silence_duration: 1.730438"
157,start,438.636,,"[silencedetect @ 000001d1ec14d600] silence_start: 438.636375"
158,end,439.145,0.508,"[silencedetect @ 000001d1ec14d600] silence_end: 439.144813 | silence_duration: 0.508437"
159,start,444.31,,"[silencedetect @ 000001d1ec14d600] silence_start: 444.30975"
160,end,446.314,2.004,"[silencedetect @ 000001d1ec14d600] silence_end: 446.314188 | silence_duration: 2.004437"
161,start,449.831,,"[silencedetect @ 000001d1ec14d600] silence_start: 449.830688"
162,end,450.578,0.747,"[silencedetect @ 000001d1ec14d600] silence_end: 450.577875 | silence_duration: 0.747188"
163,start,456.798,,"[silencedetect @ 000001d1ec14d600] silence_start: 456.797563"
164,end,458.698,1.9,"[silencedetect @ 000001d1ec14d600] silence_end: 458.697688 | silence_duration: 1.900125"
165,start,463.752,,"[silencedetect @ 000001d1ec14d600] silence_start: 463.751625"
166,end,464.363,0.611,"[silencedetect @ 000001d1ec14d600] silence_end: 464.362813 | silence_duration: 0.611187"
167,start,466.237,,"[silencedetect @ 000001d1ec14d600] silence_start: 466.237437"
168,end,468.133,1.895,"[silencedetect @ 000001d1ec14d600] silence_end: 468.132563 | silence_duration: 1.895125"
169,start,473.69,,"[silencedetect @ 000001d1ec14d600] silence_start: 473.689625"
170,end,475.445,1.755,"[silencedetect @ 000001d1ec14d600] silence_end: 475.445063 | silence_duration: 1.755437"
171,start,477.084,,"[silencedetect @ 000001d1ec14d600] silence_start: 477.083875"
172,end,477.801,0.717,"[silencedetect @ 000001d1ec14d600] silence_end: 477.801 | silence_duration: 0.717125"
173,start,481.117,,"[silencedetect @ 000001d1ec14d600] silence_start: 481.117"
174,end,482.864,1.747,"[silencedetect @ 000001d1ec14d600] silence_end: 482.864188 | silence_duration: 1.747188"
175,start,487.898,,"[silencedetect @ 000001d1ec14d600] silence_start: 487.89775"
176,end,489.697,1.799,"[silencedetect @ 000001d1ec14d600] silence_end: 489.696625 | silence_duration: 1.798875"
177,start,492.682,,"[silencedetect @ 000001d1ec14d600] silence_start: 492.682313"
178,end,494.569,1.887,"[silencedetect @ 000001d1ec14d600] silence_end: 494.569 | silence_duration: 1.886688"
179,start,497.442,,"[silencedetect @ 000001d1ec14d600] silence_start: 497.442313"
180,end,498.231,0.789,"[silencedetect @ 000001d1ec14d600] silence_end: 498.23125 | silence_duration: 0.788938"
181,start,500.592,,"[silencedetect @ 000001d1ec14d600] silence_start: 500.591688"
182,end,502.412,1.82,"[silencedetect @ 000001d1ec14d600] silence_end: 502.411688 | silence_duration: 1.82"
183,start,510.919,,"[silencedetect @ 000001d1ec14d600] silence_start: 510.918688"
184,end,512.639,1.72,"[silencedetect @ 000001d1ec14d600] silence_end: 512.638563 | silence_duration: 1.719875"
185,start,516.086,,"[silencedetect @ 000001d1ec14d600] silence_start: 516.08625"
186,end,517.877,1.791,"[silencedetect @ 000001d1ec14d600] silence_end: 517.877438 | silence_duration: 1.791187"
187,start,523.264,,"[silencedetect @ 000001d1ec14d600] silence_start: 523.263937"
188,end,525.091,1.827,"[silencedetect @ 000001d1ec14d600] silence_end: 525.090875 | silence_duration: 1.826938"
189,start,527.039,,"[silencedetect @ 000001d1ec14d600] silence_start: 527.0385"
190,end,527.797,0.758,"[silencedetect @ 000001d1ec14d600] silence_end: 527.796625 | silence_duration: 0.758125"
191,start,534.399,,"[silencedetect @ 000001d1ec14d600] silence_start: 534.3985"
192,end,536.197,1.798,"[silencedetect @ 000001d1ec14d600] silence_end: 536.196937 | silence_duration: 1.798438"
193,start,544.094,,"[silencedetect @ 000001d1ec14d600] silence_start: 544.094125"
194,end,544.621,0.527,"[silencedetect @ 000001d1ec14d600] silence_end: 544.620688 | silence_duration: 0.526563"
195,start,546.529,,"[silencedetect @ 000001d1ec14d600] silence_start: 546.529375"
196,end,548.476,1.947,"[silencedetect @ 000001d1ec14d600] silence_end: 548.475875 | silence_duration: 1.9465"
197,start,553.144,,"[silencedetect @ 000001d1ec14d600] silence_start: 553.143875"
198,end,553.901,0.757,"[silencedetect @ 000001d1ec14d600] silence_end: 553.900875 | silence_duration: 0.757"
199,start,556.897,,"[silencedetect @ 000001d1ec14d600] silence_start: 556.8965"
200,end,558.626,1.729,"[silencedetect @ 000001d1ec14d600] silence_end: 558.625875 | silence_duration: 1.729375"
201,start,561.746,,"[silencedetect @ 000001d1ec14d600] silence_start: 561.746188"
202,end,562.494,0.748,"[silencedetect @ 000001d1ec14d600] silence_end: 562.494188 | silence_duration: 0.748"
203,start,567.002,,"[silencedetect @ 000001d1ec14d600] silence_start: 567.002375"
204,end,568.745,1.742,"[silencedetect @ 000001d1ec14d600] silence_end: 568.744688 | silence_duration: 1.742312"
205,start,573.718,,"[silencedetect @ 000001d1ec14d600] silence_start: 573.718313"
206,end,575.442,1.724,"[silencedetect @ 000001d1ec14d600] silence_end: 575.442188 | silence_duration: 1.723875"
207,start,584.211,,"[silencedetect @ 000001d1ec14d600] silence_start: 584.210812"
208,end,586.056,1.845,"[silencedetect @ 000001d1ec14d600] silence_end: 586.056063 | silence_duration: 1.84525"
209,start,590.513,,"[silencedetect @ 000001d1ec14d600] silence_start: 590.513063"
210,end,591.109,0.596,"[silencedetect @ 000001d1ec14d600] silence_end: 591.109063 | silence_duration: 0.596"
211,start,595.96,,"[silencedetect @ 000001d1ec14d600] silence_start: 595.960375"
212,end,597.937,1.977,"[silencedetect @ 000001d1ec14d600] silence_end: 597.937437 | silence_duration: 1.977062"
213,start,599.355,,"[silencedetect @ 000001d1ec14d600] silence_start: 599.354812"
214,end,600.103,0.748,"[silencedetect @ 000001d1ec14d600] silence_end: 600.102875 | silence_duration: 0.748062"
215,start,603.164,,"[silencedetect @ 000001d1ec14d600] silence_start: 603.16375"
216,end,603.679,0.515,"[silencedetect @ 000001d1ec14d600] silence_end: 603.678562 | silence_duration: 0.514813"
217,start,607.925,,"[silencedetect @ 000001d1ec14d600] silence_start: 607.925"
218,end,609.712,1.787,"[silencedetect @ 000001d1ec14d600] silence_end: 609.712437 | silence_duration: 1.787438"
219,start,610.538,,"[silencedetect @ 000001d1ec14d600] silence_start: 610.538188"
220,end,611.316,0.777,"[silencedetect @ 000001d1ec14d600] silence_end: 611.3155 | silence_duration: 0.777312"
221,start,615.964,,"[silencedetect @ 000001d1ec14d600] silence_start: 615.964438"
222,end,617.748,1.783,"[silencedetect @ 000001d1ec14d600] silence_end: 617.747562 | silence_duration: 1.783125"
223,start,620.906,,"[silencedetect @ 000001d1ec14d600] silence_start: 620.905562"
224,end,621.432,0.526,"[silencedetect @ 000001d1ec14d600] silence_end: 621.43175 | silence_duration: 0.526188"
225,start,623.08,,"[silencedetect @ 000001d1ec14d600] silence_start: 623.080187"
226,end,624.896,1.815,"[silencedetect @ 000001d1ec14d600] silence_end: 624.895562 | silence_duration: 1.815375"
227,start,629.76,,"[silencedetect @ 000001d1ec14d600] silence_start: 629.760188"
228,end,630.281,0.521,"[silencedetect @ 000001d1ec14d600] silence_end: 630.281 | silence_duration: 0.520813"
229,start,632.488,,"[silencedetect @ 000001d1ec14d600] silence_start: 632.487938"
230,end,634.392,1.904,"[silencedetect @ 000001d1ec14d600] silence_end: 634.391687 | silence_duration: 1.90375"
231,start,637.613,,"[silencedetect @ 000001d1ec14d600] silence_start: 637.612813"
232,end,638.113,0.5,"[silencedetect @ 000001d1ec14d600] silence_end: 638.113 | silence_duration: 0.500188"
233,start,641.013,,"[silencedetect @ 000001d1ec14d600] silence_start: 641.013438"
234,end,641.754,0.741,"[silencedetect @ 000001d1ec14d600] silence_end: 641.754063 | silence_duration: 0.740625"
235,start,647.162,,"[silencedetect @ 000001d1ec14d600] silence_start: 647.162063"
236,end,648.868,1.706,"[silencedetect @ 000001d1ec14d600] silence_end: 648.868187 | silence_duration: 1.706125"
237,start,651.937,,"[silencedetect @ 000001d1ec14d600] silence_start: 651.937063"
238,end,653.616,1.679,"[silencedetect @ 000001d1ec14d600] silence_end: 653.615813 | silence_duration: 1.67875"
239,start,656.759,,"[silencedetect @ 000001d1ec14d600] silence_start: 656.75925"
240,end,658.629,1.87,"[silencedetect @ 000001d1ec14d600] silence_end: 658.629 | silence_duration: 1.86975"
241,start,661.584,,"[silencedetect @ 000001d1ec14d600] silence_start: 661.584"
242,end,663.338,1.754,"[silencedetect @ 000001d1ec14d600] silence_end: 663.337688 | silence_duration: 1.753688"
243,start,667.46,,"[silencedetect @ 000001d1ec14d600] silence_start: 667.460438"
244,end,668.251,0.79,"[silencedetect @ 000001d1ec14d600] silence_end: 668.25075 | silence_duration: 0.790312"
245,start,672.443,,"[silencedetect @ 000001d1ec14d600] silence_start: 672.4425"
246,end,674.203,1.761,"[silencedetect @ 000001d1ec14d600] silence_end: 674.203375 | silence_duration: 1.760875"
247,start,679.235,,"[silencedetect @ 000001d1ec14d600] silence_start: 679.235188"
248,end,680.068,0.833,"[silencedetect @ 000001d1ec14d600] silence_end: 680.068437 | silence_duration: 0.83325"
249,start,685.85,,"[silencedetect @ 000001d1ec14d600] silence_start: 685.850437"
250,end,687.6,1.749,"[silencedetect @ 000001d1ec14d600] silence_end: 687.59975 | silence_duration: 1.749313"
251,start,691.785,,"[silencedetect @ 000001d1ec14d600] silence_start: 691.784562"
252,end,693.581,1.797,"[silencedetect @ 000001d1ec14d600] silence_end: 693.581375 | silence_duration: 1.796813"
253,start,699.036,,"[silencedetect @ 000001d1ec14d600] silence_start: 699.035875"
254,end,700.823,1.787,"[silencedetect @ 000001d1ec14d600] silence_end: 700.82325 | silence_duration: 1.787375"
255,start,705.745,,"[silencedetect @ 000001d1ec14d600] silence_start: 705.745375"
256,end,707.478,1.733,"[silencedetect @ 000001d1ec14d600] silence_end: 707.477938 | silence_duration: 1.732563"
257,start,713.327,,"[silencedetect @ 000001d1ec14d600] silence_start: 713.32725"
258,end,714.104,0.777,"[silencedetect @ 000001d1ec14d600] silence_end: 714.104 | silence_duration: 0.77675"
259,start,717.473,,"[silencedetect @ 000001d1ec14d600] silence_start: 717.473438"
260,end,719.205,1.731,"[silencedetect @ 000001d1ec14d600] silence_end: 719.204563 | silence_duration: 1.731125"
261,start,723.992,,"[silencedetect @ 000001d1ec14d600] silence_start: 723.991938"
262,end,724.512,0.52,"[silencedetect @ 000001d1ec14d600] silence_end: 724.512187 | silence_duration: 0.52025"
263,start,728.204,,"[silencedetect @ 000001d1ec14d600] silence_start: 728.203813"
264,end,729.985,1.781,"[silencedetect @ 000001d1ec14d600] silence_end: 729.984812 | silence_duration: 1.781"
265,start,733.795,,"[silencedetect @ 000001d1ec14d600] silence_start: 733.795062"
266,end,734.659,0.864,"[silencedetect @ 000001d1ec14d600] silence_end: 734.659063 | silence_duration: 0.864"
267,start,738.476,,"[silencedetect @ 000001d1ec14d600] silence_start: 738.475937"
268,end,740.413,1.937,"[silencedetect @ 000001d1ec14d600] silence_end: 740.412875 | silence_duration: 1.936937"
269,start,745.541,,"[silencedetect @ 000001d1ec14d600] silence_start: 745.541063"
270,end,746.328,0.787,"[silencedetect @ 000001d1ec14d600] silence_end: 746.327688 | silence_duration: 0.786625"
271,start,748.549,,"[silencedetect @ 000001d1ec14d600] silence_start: 748.549062"
272,end,750.266,1.717,"[silencedetect @ 000001d1ec14d600] silence_end: 750.265625 | silence_duration: 1.716562"
273,start,754.336,,"[silencedetect @ 000001d1ec14d600] silence_start: 754.335688"
274,end,755.111,0.775,"[silencedetect @ 000001d1ec14d600] silence_end: 755.111 | silence_duration: 0.775313"
275,start,758.077,,"[silencedetect @ 000001d1ec14d600] silence_start: 758.077375"
276,end,759.806,1.728,"[silencedetect @ 000001d1ec14d600] silence_end: 759.805625 | silence_duration: 1.72825"
277,start,762.009,,"[silencedetect @ 000001d1ec14d600] silence_start: 762.009063"
278,end,762.756,0.747,"[silencedetect @ 000001d1ec14d600] silence_end: 762.755937 | silence_duration: 0.746875"
279,start,765.719,,"[silencedetect @ 000001d1ec14d600] silence_start: 765.719438"
280,end,767.474,1.754,"[silencedetect @ 000001d1ec14d600] silence_end: 767.473625 | silence_duration: 1.754188"
281,start,772.763,,"[silencedetect @ 000001d1ec14d600] silence_start: 772.7625"
282,end,774.498,1.736,"[silencedetect @ 000001d1ec14d600] silence_end: 774.498312 | silence_duration: 1.735812"
283,start,779.15,,"[silencedetect @ 000001d1ec14d600] silence_start: 779.1495"
284,end,780.918,1.768,"[silencedetect @ 000001d1ec14d600] silence_end: 780.917875 | silence_duration: 1.768375"
285,start,784.407,,"[silencedetect @ 000001d1ec14d600] silence_start: 784.407063"
286,end,785.236,0.829,"[silencedetect @ 000001d1ec14d600] silence_end: 785.236 | silence_duration: 0.828937"
287,start,787.548,,"[silencedetect @ 000001d1ec14d600] silence_start: 787.547625"
288,end,789.34,1.792,"[silencedetect @ 000001d1ec14d600] silence_end: 789.339687 | silence_duration: 1.792063"
289,start,793.266,,"[silencedetect @ 000001d1ec14d600] silence_start: 793.265875"
290,end,794.029,0.763,"[silencedetect @ 000001d1ec14d600] silence_end: 794.028937 | silence_duration: 0.763062"
291,start,797.256,,"[silencedetect @ 000001d1ec14d600] silence_start: 797.255625"
292,end,799,1.744,"[silencedetect @ 000001d1ec14d600] silence_end: 798.999688 | silence_duration: 1.744063"
293,start,806.458,,"[silencedetect @ 000001d1ec14d600] silence_start: 806.458313"
294,end,808.211,1.752,"[silencedetect @ 000001d1ec14d600] silence_end: 808.21075 | silence_duration: 1.752438"
295,start,814.009,,"[silencedetect @ 000001d1ec14d600] silence_start: 814.008688"
296,end,814.824,0.815,"[silencedetect @ 000001d1ec14d600] silence_end: 814.8235 | silence_duration: 0.814813"
297,start,817.969,,"[silencedetect @ 000001d1ec14d600] silence_start: 817.969438"
298,end,819.686,1.716,"[silencedetect @ 000001d1ec14d600] silence_end: 819.685687 | silence_duration: 1.71625"
299,start,822.057,,"[silencedetect @ 000001d1ec14d600] silence_start: 822.056938"
300,end,822.601,0.544,"[silencedetect @ 000001d1ec14d600] silence_end: 822.600625 | silence_duration: 0.543687"
301,start,828.587,,"[silencedetect @ 000001d1ec14d600] silence_start: 828.586688"
302,end,830.424,1.837,"[silencedetect @ 000001d1ec14d600] silence_end: 830.423563 | silence_duration: 1.836875"
303,start,830.652,,"[silencedetect @ 000001d1ec14d600] silence_start: 830.651687"
304,end,831.439,0.788,"[silencedetect @ 000001d1ec14d600] silence_end: 831.439188 | silence_duration: 0.7875"
305,start,836.75,,"[silencedetect @ 000001d1ec14d600] silence_start: 836.7495"
306,end,838.552,1.802,"[silencedetect @ 000001d1ec14d600] silence_end: 838.551563 | silence_duration: 1.802063"
307,start,848.5,,"[silencedetect @ 000001d1ec14d600] silence_start: 848.499625"
308,end,850.241,1.742,"[silencedetect @ 000001d1ec14d600] silence_end: 850.241313 | silence_duration: 1.741688"
309,start,858.89,,"[silencedetect @ 000001d1ec14d600] silence_start: 858.88975"
310,end,860.615,1.725,"[silencedetect @ 000001d1ec14d600] silence_end: 860.614625 | silence_duration: 1.724875"
311,start,867.539,,"[silencedetect @ 000001d1ec14d600] silence_start: 867.539375"
312,end,869.325,1.786,"[silencedetect @ 000001d1ec14d600] silence_end: 869.325 | silence_duration: 1.785625"
313,start,872.166,,"[silencedetect @ 000001d1ec14d600] silence_start: 872.166187"
314,end,872.859,0.693,"[silencedetect @ 000001d1ec14d600] silence_end: 872.859438 | silence_duration: 0.69325"
315,start,875.422,,"[silencedetect @ 000001d1ec14d600] silence_start: 875.421687"
316,end,877.187,1.766,"[silencedetect @ 000001d1ec14d600] silence_end: 877.187375 | silence_duration: 1.765688"
317,start,878.282,,"[silencedetect @ 000001d1ec14d600] silence_start: 878.281813"
318,end,879.029,0.748,"[silencedetect @ 000001d1ec14d600] silence_end: 879.029375 | silence_duration: 0.747563"
319,start,881.276,,"[silencedetect @ 000001d1ec14d600] silence_start: 881.276187"
320,end,882.102,0.826,"[silencedetect @ 000001d1ec14d600] silence_end: 882.102438 | silence_duration: 0.82625"
321,start,883.997,,"[silencedetect @ 000001d1ec14d600] silence_start: 883.9965"
322,end,884.722,0.726,"[silencedetect @ 000001d1ec14d600] silence_end: 884.722313 | silence_duration: 0.725812"
323,start,888.178,,"[silencedetect @ 000001d1ec14d600] silence_start: 888.177875"
324,end,889.908,1.73,"[silencedetect @ 000001d1ec14d600] silence_end: 889.908063 | silence_duration: 1.730187"
325,start,895.523,,"[silencedetect @ 000001d1ec14d600] silence_start: 895.523188"
326,end,896.277,0.754,"[silencedetect @ 000001d1ec14d600] silence_end: 896.277312 | silence_duration: 0.754125"
327,start,900.002,,"[silencedetect @ 000001d1ec14d600] silence_start: 900.002438"
328,end,900.832,0.83,"[silencedetect @ 000001d1ec14d600] silence_end: 900.832188 | silence_duration: 0.82975"
329,start,902.184,,"[silencedetect @ 000001d1ec14d600] silence_start: 902.183938"
330,end,903.965,1.781,"[silencedetect @ 000001d1ec14d600] silence_end: 903.964625 | silence_duration: 1.780687"
331,start,907.373,,"[silencedetect @ 000001d1ec14d600] silence_start: 907.37325"
332,end,909.105,1.732,"[silencedetect @ 000001d1ec14d600] silence_end: 909.104875 | silence_duration: 1.731625"
333,start,913.765,,"[silencedetect @ 000001d1ec14d600] silence_start: 913.764688"
334,end,914.276,0.511,"[silencedetect @ 000001d1ec14d600] silence_end: 914.275875 | silence_duration: 0.511188"
335,start,916.752,,"[silencedetect @ 000001d1ec14d600] silence_start: 916.752438"
336,end,918.484,1.732,"[silencedetect @ 000001d1ec14d600] silence_end: 918.484438 | silence_duration: 1.732"
337,start,923.675,,"[silencedetect @ 000001d1ec14d600] silence_start: 923.674562"
338,end,924.457,0.782,"[silencedetect @ 000001d1ec14d600] silence_end: 924.456563 | silence_duration: 0.782"
339,start,929.944,,"[silencedetect @ 000001d1ec14d600] silence_start: 929.944062"
340,end,931.924,1.98,"[silencedetect @ 000001d1ec14d600] silence_end: 931.924438 | silence_duration: 1.980375"
341,start,939.688,,"[silencedetect @ 000001d1ec14d600] silence_start: 939.68775"
342,end,941.452,1.764,"[silencedetect @ 000001d1ec14d600] silence_end: 941.451625 | silence_duration: 1.763875"
343,start,944.082,,"[silencedetect @ 000001d1ec14d600] silence_start: 944.081937"
344,end,944.681,0.599,"[silencedetect @ 000001d1ec14d600] silence_end: 944.680563 | silence_duration: 0.598625"
345,start,948,,"[silencedetect @ 000001d1ec14d600] silence_start: 947.9995"
346,end,949.797,1.798,"[silencedetect @ 000001d1ec14d600] silence_end: 949.797063 | silence_duration: 1.797562"
347,start,952.103,,"[silencedetect @ 000001d1ec14d600] silence_start: 952.102625"
348,end,952.845,0.742,"[silencedetect @ 000001d1ec14d600] silence_end: 952.844875 | silence_duration: 0.74225"
349,start,959.218,,"[silencedetect @ 000001d1ec14d600] silence_start: 959.217562"
350,end,960.952,1.734,"[silencedetect @ 000001d1ec14d600] silence_end: 960.951813 | silence_duration: 1.73425"
351,start,965.809,,"[silencedetect @ 000001d1ec14d600] silence_start: 965.809188"
352,end,966.554,0.744,"[silencedetect @ 000001d1ec14d600] silence_end: 966.5535 | silence_duration: 0.744313"
353,start,970.089,,"[silencedetect @ 000001d1ec14d600] silence_start: 970.089125"
354,end,972.004,1.915,"[silencedetect @ 000001d1ec14d600] silence_end: 972.00375 | silence_duration: 1.914625"
355,start,980.089,,"[silencedetect @ 000001d1ec14d600] silence_start: 980.089187"
356,end,981.836,1.747,"[silencedetect @ 000001d1ec14d600] silence_end: 981.836437 | silence_duration: 1.74725"
357,start,988.978,,"[silencedetect @ 000001d1ec14d600] silence_start: 988.978438"
358,end,990.713,1.735,"[silencedetect @ 000001d1ec14d600] silence_end: 990.713062 | silence_duration: 1.734625"
359,start,997.319,,"[silencedetect @ 000001d1ec14d600] silence_start: 997.318875"
360,end,998.157,0.838,"[silencedetect @ 000001d1ec14d600] silence_end: 998.156813 | silence_duration: 0.837938"
361,start,1002.309,,"[silencedetect @ 000001d1ec14d600] silence_start: 1002.308938"
362,end,1004.117,1.808,"[silencedetect @ 000001d1ec14d600] silence_end: 1004.117188 | silence_duration: 1.80825"
363,start,1009.079,,"[silencedetect @ 000001d1ec14d600] silence_start: 1009.079187"
364,end,1009.797,0.718,"[silencedetect @ 000001d1ec14d600] silence_end: 1009.797188 | silence_duration: 0.718"
365,start,1017.383,,"[silencedetect @ 000001d1ec14d600] silence_start: 1017.383438"
366,end,1019.198,1.814,"[silencedetect @ 000001d1ec14d600] silence_end: 1019.1975 | silence_duration: 1.814063"
367,start,1023.267,,"[silencedetect @ 000001d1ec14d600] silence_start: 1023.26675"
368,end,1024.112,0.846,"[silencedetect @ 000001d1ec14d600] silence_end: 1024.112312 | silence_duration: 0.845562"
369,start,1029.524,,"[silencedetect @ 000001d1ec14d600] silence_start: 1029.52375"
370,end,1031.343,1.819,"[silencedetect @ 000001d1ec14d600] silence_end: 1031.343 | silence_duration: 1.81925"
371,start,1038.146,,"[silencedetect @ 000001d1ec14d600] silence_start: 1038.146125"
372,end,1038.731,0.585,"[silencedetect @ 000001d1ec14d600] silence_end: 1038.730875 | silence_duration: 0.58475"
373,start,1042.372,,"[silencedetect @ 000001d1ec14d600] silence_start: 1042.371813"
374,end,1044.144,1.773,"[silencedetect @ 000001d1ec14d600] silence_end: 1044.144375 | silence_duration: 1.772563"
375,start,1047.419,,"[silencedetect @ 000001d1ec14d600] silence_start: 1047.419"
376,end,1048.243,0.824,"[silencedetect @ 000001d1ec14d600] silence_end: 1048.24275 | silence_duration: 0.82375"
377,start,1052.258,,"[silencedetect @ 000001d1ec14d600] silence_start: 1052.258"
378,end,1054.122,1.864,"[silencedetect @ 000001d1ec14d600] silence_end: 1054.121875 | silence_duration: 1.863875"
379,start,1061.268,,"[silencedetect @ 000001d1ec14d600] silence_start: 1061.2675"
380,end,1063.069,1.802,"[silencedetect @ 000001d1ec14d600] silence_end: 1063.06925 | silence_duration: 1.80175"
381,start,1068.968,,"[silencedetect @ 000001d1ec14d600] silence_start: 1068.96825"
382,end,1069.694,0.726,"[silencedetect @ 000001d1ec14d600] silence_end: 1069.694062 | silence_duration: 0.725812"
383,start,1073.325,,"[silencedetect @ 000001d1ec14d600] silence_start: 1073.324813"
384,end,1075.079,1.754,"[silencedetect @ 000001d1ec14d600] silence_end: 1075.078563 | silence_duration: 1.75375"
385,start,1080.188,,"[silencedetect @ 000001d1ec14d600] silence_start: 1080.18825"
386,end,1080.93,0.742,"[silencedetect @ 000001d1ec14d600] silence_end: 1080.93 | silence_duration: 0.74175"
387,start,1082.723,,"[silencedetect @ 000001d1ec14d600] silence_start: 1082.723"
388,end,1084.602,1.879,"[silencedetect @ 000001d1ec14d600] silence_end: 1084.602437 | silence_duration: 1.879438"
389,start,1088.719,,"[silencedetect @ 000001d1ec14d600] silence_start: 1088.719063"
390,end,1089.462,0.743,"[silencedetect @ 000001d1ec14d600] silence_end: 1089.462313 | silence_duration: 0.74325"
391,start,1092.137,,"[silencedetect @ 000001d1ec14d600] silence_start: 1092.136937"
392,end,1093.872,1.735,"[silencedetect @ 000001d1ec14d600] silence_end: 1093.871625 | silence_duration: 1.734687"
393,start,1099.12,,"[silencedetect @ 000001d1ec14d600] silence_start: 1099.120375"
